SIZE ,SHAPE ,STOCK ,COLORSPEC ,COATING ,PRODUCT STYLE ,,,DRILL HOLE ,RunSize,UnitPrice,TotalPrice
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,500,0.1524,76.21
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,1000,0.1032,103.22
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,2500,0.0762,190.54
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,5000,0.0603,301.69
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",500,0.1905,95.26
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",1000,0.1290,129.02
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",2500,0.0953,238.17
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",5000,0.0754,377.11
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,500,0.1905,95.26
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,1000,0.1290,129.02
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,2500,0.0953,238.17
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,5000,0.0754,377.11
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1842,92.10
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1254,125.44
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0851,212.77
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0648,323.92
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,500,0.1842,92.10
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,1000,0.1254,125.44
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,2500,0.0851,212.77
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,5000,0.0648,323.92
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1524,76.21
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1032,103.22
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0762,190.54
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0603,301.69
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,500,0.1524,76.21
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,1000,0.1032,103.22
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,2500,0.0762,190.54
"1.75"" x 3.5""",Rectangle,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,5000,0.0603,301.69
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1906,95.28
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1509,150.85
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0953,238.18
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0730,365.21
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,500,0.1906,95.28
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,1000,0.1509,150.85
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,2500,0.0953,238.18
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,5000,0.0730,365.21
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",500,0.2382,119.10
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",1000,0.1886,188.56
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",2500,0.1191,297.73
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",5000,0.0913,456.51
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,500,0.2382,119.10
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,1000,0.1886,188.56
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,2500,0.1191,297.73
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,5000,0.0913,456.51
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.2223,111.15
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1731,173.07
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.1048,262.00
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0778,389.02
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,Regular Hang Tags,,,No Drill Hole,500,0.2223,111.15
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,Regular Hang Tags,,,No Drill Hole,1000,0.1731,173.07
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,Regular Hang Tags,,,No Drill Hole,2500,0.1048,262.00
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,Regular Hang Tags,,,No Drill Hole,5000,0.0778,389.02
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1906,95.28
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1509,150.85
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0953,238.18
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0730,365.21
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,500,0.1906,95.28
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,1000,0.1509,150.85
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,2500,0.0953,238.18
"1.75"" x 3.5""",Rectangle,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,5000,0.0730,365.21
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1715,85.75
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1191,119.09
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0826,206.41
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0635,317.57
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,500,0.1715,85.75
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,1000,0.1191,119.09
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,2500,0.0826,206.41
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,5000,0.0635,317.57
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",500,0.2144,107.19
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",1000,0.1489,148.86
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",2500,0.1032,258.01
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",5000,0.0794,396.97
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,500,0.2144,107.19
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,1000,0.1489,148.86
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,2500,0.1032,258.01
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,5000,0.0794,396.97
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.2032,101.62
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1413,141.31
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0915,228.66
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0680,339.81
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,500,0.2032,101.62
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,1000,0.1413,141.31
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,2500,0.0915,228.66
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,5000,0.0680,339.81
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1715,85.75
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1191,119.09
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0826,206.41
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0635,317.57
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,500,0.1715,85.75
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,1000,0.1191,119.09
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,2500,0.0826,206.41
"1.75"" x 3.5""",Rectangle,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,5000,0.0635,317.57
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1906,95.28
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1509,150.85
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0953,238.18
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0730,365.21
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,500,0.1906,95.28
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,1000,0.1509,150.85
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,2500,0.0953,238.18
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,5000,0.0730,365.21
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",500,0.2382,119.10
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",1000,0.1886,188.56
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",2500,0.1191,297.73
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",5000,0.0913,456.51
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,500,0.2382,119.10
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,1000,0.1886,188.56
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,2500,0.1191,297.73
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,5000,0.0913,456.51
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.2223,111.15
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1731,173.07
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.1048,262.00
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0778,389.02
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,Regular Hang Tags,,,No Drill Hole,500,0.2223,111.15
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,Regular Hang Tags,,,No Drill Hole,1000,0.1731,173.07
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,Regular Hang Tags,,,No Drill Hole,2500,0.1048,262.00
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,Regular Hang Tags,,,No Drill Hole,5000,0.0778,389.02
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1906,95.28
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1509,150.85
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0953,238.18
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0730,365.21
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,500,0.1906,95.28
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,1000,0.1509,150.85
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,2500,0.0953,238.18
"1.75"" x 3.5""",Rectangle,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,5000,0.0730,365.21
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1906,95.28
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1509,150.85
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0953,238.18
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0730,365.21
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,500,0.1906,95.28
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,1000,0.1509,150.85
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,2500,0.0953,238.18
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,No Drill Hole,5000,0.0730,365.21
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",500,0.2382,119.10
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",1000,0.1886,188.56
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",2500,0.1191,297.73
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,"Standard Drill Hole 1/8""",5000,0.0913,456.51
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,500,0.2382,119.10
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,1000,0.1886,188.56
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,2500,0.1191,297.73
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Regular Hang Tags,Spot UV Front,,No Drill Hole,5000,0.0913,456.51
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.2223,111.15
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1731,173.07
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.1048,262.00
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0778,389.02
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,500,0.2223,111.15
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,1000,0.1731,173.07
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,2500,0.1048,262.00
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,Regular Hang Tags,,,No Drill Hole,5000,0.0778,389.02
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1906,95.28
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1509,150.85
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",2500,0.0953,238.18
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,"Standard Drill Hole 1/8""",5000,0.0730,365.21
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,500,0.1906,95.28
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,1000,0.1509,150.85
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,2500,0.0953,238.18
"2"" x 2""",Square,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,Regular Hang Tags,,,No Drill Hole,5000,0.0730,365.21
"2"" x 2""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",500,0.1524,76.21
"2"" x 2""",Square,16PT C2S,5/0 (4/0 with Foil on Front),UV Coating Front Only,Regular Hang Tags,,,"Standard Drill Hole 1/8""",1000,0.1032,103.22
