SIZE ,STOCK ,COLORSPEC ,COATING ,RAISED FOIL SIDE ,RAISED SPOT UV SIDE ,RAISED SPOT UV HEIGHT ,LAMINATION ,FOIL COLOR ,,BLANK ENVELOPES ,RunSize,UnitPrice,TotalPrice
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Gold Foil,No Blank Envelopes,500,0.3465,173.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Gold Foil,Include Envelopes - A2,100,1.0446,104.46
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Gold Foil,Include Envelopes - A2,250,0.5913,147.83
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Gold Foil,Include Envelopes - A2,500,0.3965,198.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Holographic,No Blank Envelopes,100,0.9166,91.66
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Holographic,No Blank Envelopes,250,0.5133,128.33
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Holographic,No Blank Envelopes,500,0.3465,173.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Holographic,Include Envelopes - A2,100,1.0446,104.46
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Holographic,Include Envelopes - A2,250,0.5913,147.83
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Holographic,Include Envelopes - A2,500,0.3965,198.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Silver Foil,No Blank Envelopes,100,0.9166,91.66
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Silver Foil,No Blank Envelopes,250,0.5133,128.33
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Silver Foil,No Blank Envelopes,500,0.3465,173.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Silver Foil,Include Envelopes - A2,100,1.0446,104.46
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Silver Foil,Include Envelopes - A2,250,0.5913,147.83
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Silver Foil,Silver Foil,Include Envelopes - A2,500,0.3965,198.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Gold Foil,No Blank Envelopes,100,0.9166,91.66
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Gold Foil,No Blank Envelopes,250,0.5133,128.33
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Gold Foil,No Blank Envelopes,500,0.3465,173.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Gold Foil,Include Envelopes - A2,100,1.0446,104.46
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Gold Foil,Include Envelopes - A2,250,0.5913,147.83
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Gold Foil,Include Envelopes - A2,500,0.3965,198.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Holographic,No Blank Envelopes,100,0.9166,91.66
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Holographic,No Blank Envelopes,250,0.5133,128.33
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Holographic,No Blank Envelopes,500,0.3465,173.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Holographic,Include Envelopes - A2,100,1.0446,104.46
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Holographic,Include Envelopes - A2,250,0.5913,147.83
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Holographic,Include Envelopes - A2,500,0.3965,198.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Silver Foil,No Blank Envelopes,100,0.9166,91.66
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Silver Foil,No Blank Envelopes,250,0.5133,128.33
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Silver Foil,No Blank Envelopes,500,0.3465,173.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Silver Foil,Include Envelopes - A2,100,1.0446,104.46
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Silver Foil,Include Envelopes - A2,250,0.5913,147.83
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Holographic,Silver Foil,Include Envelopes - A2,500,0.3965,198.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Gold Foil,No Blank Envelopes,100,0.9166,91.66
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Gold Foil,No Blank Envelopes,250,0.5133,128.33
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Gold Foil,No Blank Envelopes,500,0.3465,173.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Gold Foil,Include Envelopes - A2,100,1.0446,104.46
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Gold Foil,Include Envelopes - A2,250,0.5913,147.83
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Gold Foil,Include Envelopes - A2,500,0.3965,198.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Holographic,No Blank Envelopes,100,0.9166,91.66
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Holographic,No Blank Envelopes,250,0.5133,128.33
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Holographic,No Blank Envelopes,500,0.3465,173.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Holographic,Include Envelopes - A2,100,1.0446,104.46
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Holographic,Include Envelopes - A2,250,0.5913,147.83
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Holographic,Include Envelopes - A2,500,0.3965,198.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Silver Foil,No Blank Envelopes,100,0.9166,91.66
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Silver Foil,No Blank Envelopes,250,0.5133,128.33
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Silver Foil,No Blank Envelopes,500,0.3465,173.26
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Silver Foil,Include Envelopes - A2,100,1.0446,104.46
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Silver Foil,Include Envelopes - A2,250,0.5913,147.83
"3.5"" x 5""",16PT C2S,6/1 (4/1 with Two Foils on Front),No Coating,Raised Foil Front,,,Velvet,Gold Foil,Silver Foil,Include Envelopes - A2,500,0.3965,198.26
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Silver Foil,,No Blank Envelopes,100,0.8730,87.30
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Silver Foil,,No Blank Envelopes,250,0.4889,122.22
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Silver Foil,,No Blank Envelopes,500,0.3300,165.01
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Silver Foil,,Include Envelopes - A2,100,1.0010,100.10
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Silver Foil,,Include Envelopes - A2,250,0.5669,141.72
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Silver Foil,,Include Envelopes - A2,500,0.3800,190.01
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Holographic,,No Blank Envelopes,100,0.8730,87.30
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Holographic,,No Blank Envelopes,250,0.4889,122.22
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Holographic,,No Blank Envelopes,500,0.3300,165.01
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Holographic,,Include Envelopes - A2,100,1.0010,100.10
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Holographic,,Include Envelopes - A2,250,0.5669,141.72
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Holographic,,Include Envelopes - A2,500,0.3800,190.01
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Gold Foil,,No Blank Envelopes,100,0.8730,87.30
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Gold Foil,,No Blank Envelopes,250,0.4889,122.22
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Gold Foil,,No Blank Envelopes,500,0.3300,165.01
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Gold Foil,,Include Envelopes - A2,100,1.0010,100.10
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Gold Foil,,Include Envelopes - A2,250,0.5669,141.72
"3.5"" x 5""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,Raised Foil Front,Raised Spot UV Front,50 Microns,Velvet,Gold Foil,,Include Envelopes - A2,500,0.3800,190.01
